M,n,W,U,D,L,S,Speedup
2000,2,1000,f,32,nan,L,1.43787 
2000,2,1000,f,32,p,H,1.41364 
2000,2,1000,f,32,a,H,1.39910 
2000,2,1000,f,32,p,A,1.68905 
2000,2,1000,f,32,a,A,1.67145 
2000,3,1000,f,32,nan,L,1.87278 
2000,3,1000,f,32,p,H,1.84530 
2000,3,1000,f,32,a,H,1.83506 
2000,3,1000,f,32,p,A,2.45374 
2000,3,1000,f,32,a,A,2.37409 
2000,7,1000,f,32,nan,L,3.43824 
2000,7,1000,f,32,p,H,3.38447 
2000,7,1000,f,32,a,H,3.37751 
2000,7,1000,f,32,p,A,4.22433 
2000,7,1000,f,32,a,A,4.03455 
2000,13,1000,f,32,nan,L,4.24745 
2000,13,1000,f,32,p,H,4.24167 
2000,13,1000,f,32,a,H,4.14115 
2000,13,1000,f,32,p,A,3.73984 
2000,13,1000,f,32,a,A,3.93308 
2000,27,1000,f,32,nan,L,2.13899 
2000,27,1000,f,32,p,H,1.84945 
2000,27,1000,f,32,a,H,1.94515 
2000,27,1000,f,32,p,A,0.13822 
2000,27,1000,f,32,a,A,0.14069 
2000,1,2000,f,32,nan,L,0.94732 
2000,1,2000,f,32,p,H,0.94046 
2000,1,2000,f,32,a,H,0.92748 
2000,1,2000,f,32,p,A,0.92482 
2000,1,2000,f,32,a,A,0.92351 
2000,2,2000,f,32,nan,L,1.51711 
2000,2,2000,f,32,p,H,1.50315 
2000,2,2000,f,32,a,H,1.49978 
2000,2,2000,f,32,p,A,1.85006 
2000,2,2000,f,32,a,A,1.83780 
2000,3,2000,f,32,nan,L,1.96661 
2000,3,2000,f,32,p,H,1.95288 
2000,3,2000,f,32,a,H,1.93991 
2000,3,2000,f,32,p,A,2.74192 
2000,3,2000,f,32,a,A,2.70247 
2000,7,2000,f,32,nan,L,3.63721 
2000,7,2000,f,32,p,H,3.68471 
2000,7,2000,f,32,a,H,3.65255 
2000,7,2000,f,32,p,A,6.18659 
2000,7,2000,f,32,a,A,6.10751 
2000,13,2000,f,32,nan,L,6.28448 
2000,13,2000,f,32,p,H,6.24568 
2000,13,2000,f,32,a,H,6.32011 
2000,13,2000,f,32,p,A,8.10200 
2000,13,2000,f,32,a,A,8.40328 
2000,27,2000,f,32,nan,L,3.45621 
2000,27,2000,f,32,p,H,3.43465 
2000,27,2000,f,32,a,H,3.34939 
2000,27,2000,f,32,p,A,0.38873 
2000,27,2000,f,32,a,A,0.29779 
2000,1,4000,f,32,nan,L,0.97390 
2000,1,4000,f,32,p,H,0.96999 
2000,1,4000,f,32,a,H,0.96317 
2000,1,4000,f,32,p,A,0.96191 
2000,1,4000,f,32,a,A,0.96090 
2000,2,4000,f,32,nan,L,1.54683 
2000,2,4000,f,32,p,H,1.54356 
2000,2,4000,f,32,a,H,1.54178 
2000,2,4000,f,32,p,A,1.92540 
2000,2,4000,f,32,a,A,1.91825 
2000,3,4000,f,32,nan,L,2.00187 
2000,3,4000,f,32,p,H,1.99996 
2000,3,4000,f,32,a,H,1.99577 
2000,3,4000,f,32,p,A,2.87149 
2000,3,4000,f,32,a,A,2.85079 
2000,7,4000,f,32,nan,L,3.77407 
2000,7,4000,f,32,p,H,3.75735 
2000,7,4000,f,32,a,H,3.75843 
2000,7,4000,f,32,p,A,6.69731 
2000,7,4000,f,32,a,A,6.62606 
2000,13,4000,f,32,nan,L,6.54938 
2000,13,4000,f,32,p,H,6.67805 
2000,13,4000,f,32,a,H,6.54938 
2000,13,4000,f,32,p,A,12.44014 
2000,13,4000,f,32,a,A,12.37434 
2000,27,4000,f,32,nan,L,4.42489 
2000,27,4000,f,32,p,H,4.03494 
2000,27,4000,f,32,a,H,3.96393 
2000,27,4000,f,32,p,A,0.70247 
2000,27,4000,f,32,a,A,0.73615 
2000,1,8000,f,32,nan,L,0.98664 
2000,1,8000,f,32,p,H,0.98449 
2000,1,8000,f,32,a,H,0.98095 
2000,1,8000,f,32,p,A,0.98077 
2000,1,8000,f,32,a,A,0.98001 
2000,2,8000,f,32,nan,L,1.57253 
2000,2,8000,f,32,p,H,1.57173 
2000,2,8000,f,32,a,H,1.56545 
2000,2,8000,f,32,p,A,1.96857 
2000,2,8000,f,32,a,A,1.96601 
2000,3,8000,f,32,nan,L,2.03758 
2000,3,8000,f,32,p,H,2.03193 
2000,3,8000,f,32,a,H,2.03422 
2000,3,8000,f,32,p,A,2.94722 
2000,3,8000,f,32,a,A,2.93747 
2000,7,8000,f,32,nan,L,3.83053 
2000,7,8000,f,32,p,H,3.80070 
2000,7,8000,f,32,a,H,3.79414 
2000,7,8000,f,32,p,A,6.91310 
2000,7,8000,f,32,a,A,6.86790 
2000,13,8000,f,32,nan,L,6.79314 
2000,13,8000,f,32,p,H,6.81312 
2000,13,8000,f,32,a,H,6.73850 
2000,13,8000,f,32,p,A,13.11795 
2000,13,8000,f,32,a,A,13.12460 
2000,27,8000,f,32,nan,L,4.41886 
2000,27,8000,f,32,p,H,4.14867 
2000,27,8000,f,32,a,H,3.53054 
2000,27,8000,f,32,p,A,1.46362 
2000,27,8000,f,32,a,A,1.50043 
