B,n,lock,Serial Throughput,Speedup
10000,1,s,333333.3,1.0
10000,1,t,333333.3,12.86666 
10000,1,p,333333.3,10.60000 
10000,1,a,333333.3,10.33333 
10000,1,m,333333.3,10.63333 
