B,n,lock,Serial Throughput,Speedup
10000,1,m,333333.3,10.60000 
10000,2,m,333333.3,113.96665 
10000,4,m,333333.3,89.16665 
10000,8,m,333333.3,96.36665 
10000,14,m,333333.3,101.69999 
