B,n,lock,Serial Throughput,Speedup
10000,1,t,333333.3,12.76667 
10000,2,t,333333.3,93.53332 
10000,4,t,333333.3,133.79996 
10000,8,t,333333.3,167.89996 
10000,14,t,333333.3,254.60002 
