B,n,lock,Serial Throughput,Speedup
10000,1,a,333333.3,9.70000 
10000,2,a,333333.3,86.79999 
10000,4,a,333333.3,71.19999 
10000,8,a,333333.3,86.23333 
10000,14,a,333333.3,87.23333 
